Customer_ID;Date_purchase;m
27;15/11/2014;4567,00
35;04/12/2014;4192,00
43;07/11/2014;5535,00
58;07/07/2014;362,00
58;29/09/2014;281,00
58;23/09/2014;682,00
58;03/11/2014;963,00
58;21/07/2014;1165,00
58;11/09/2014;1124,00
58;28/08/2014;923,00
58;11/08/2014;803,00
58;12/10/2014;160,00
58;27/10/2014;602,00
58;20/10/2014;763,00
58;10/10/2014;481,00
58;22/10/2014;441,00
58;04/11/2014;843,00
58;13/07/2014;1084,00
58;16/07/2014;803,00
58;24/09/2014;1043,00
58;06/11/2014;722,00
58;06/11/2014;481,00
66;31/07/2014;489,00
66;09/08/2014;617,00
66;05/08/2014;437,00
66;08/08/2014;540,00
66;11/08/2014;386,00
66;01/08/2014;128,00
66;05/08/2014;283,00
66;07/08/2014;720,00
66;03/08/2014;205,00
66;08/08/2014;643,00
66;13/08/2014;567,00
101;09/08/2014;106,00
101;14/08/2014;201,00
101;16/08/2014;83,00
101;22/08/2014;307,00
101;15/08/2014;153,00
101;19/08/2014;295,00
101;15/08/2014;30,00
101;20/08/2014;355,00
101;11/08/2014;319,00
101;21/08/2014;236,00
101;22/08/2014;284,00
107;01/07/2014;75,00
107;15/07/2014;279,00
107;11/08/2014;64,00
107;06/08/2014;322,00
107;16/08/2014;53,00
108;23/07/2014;339,00
116;09/11/2014;3094,00
118;01/08/2014;111,00
118;09/08/2014;519,00
118;16/07/2014;851,00
118;07/07/2014;519,00
118;28/07/2014;777,00
118;25/07/2014;481,00
118;09/08/2014;925,00
126;14/08/2014;212,00
127;14/12/2014;2723,00
135;22/07/2014;298,00
135;17/07/2014;645,00
135;25/07/2014;745,00
135;18/08/2014;695,00
135;11/11/2014;944,00
135;25/07/2014;993,00
135;19/10/2014;1043,00
135;29/08/2014;546,00
135;15/11/2014;894,00
135;19/11/2014;100,00
136;02/09/2014;264,00
136;29/07/2014;435,00
136;14/07/2014;227,00
136;26/09/2014;32,00
136;12/07/2014;227,00
136;22/08/2014;227,00
136;05/12/2014;416,00
136;13/12/2014;113,00
136;08/01/2015;340,00
139;20/11/2014;3352,00
140;29/09/2014;3527,00
140;30/10/2014;3527,00
140;15/12/2014;3967,00
147;27/07/2014;107,00
147;02/08/2014;501,00
148;19/07/2014;563,00
148;25/09/2014;412,00
148;08/09/2014;244,00
148;24/09/2014;281,00
148;25/08/2014;450,00
148;06/10/2014;112,00
148;26/09/2014;262,00
148;20/09/2014;300,00
148;09/10/2014;300,00
148;21/11/2014;431,00
148;19/11/2014;56,00
148;19/07/2014;150,00
148;06/12/2014;394,00
148;16/09/2014;338,00
148;29/10/2014;37,00
148;18/09/2014;488,00
148;17/10/2014;300,00
148;14/12/2014;300,00
161;08/07/2014;1513,00
161;27/07/2014;60,00
161;14/07/2014;60,00
161;04/07/2014;1513,00
161;09/08/2014;1453,00
161;15/09/2014;1696,00
163;02/08/2014;186,00
163;09/08/2014;186,00
